,id,date,genre,text,pre_target,nb_tokens,stance,sujet,pre_gemma
0,1132,26/11/2015,Homme,"Cette petite mission au SAMU Social est l'occasion d'un premier contact avec les équipes de travailleurs sociaux pour la majorité d'entre nous et est une belle occasion de découvrir ce travail.  Au cours de notre formation, nous n'avons malheureusement que très peu de temps accordé à la dimension sociale de la médecine et proposer ce type ""d'atelier"" est une bonne chose.    En ce qui me concerne, la nuit fut calme mais néanmoins enrichissante sur le plan humain. Les équipes travaillent toutes le sourire aux lèvres avec l'envie évidente d'aider les personnes qui n'en demandent pas toujours spontanément.  Les usagers ont des profils très variés mais ce qui m'a marqué c'est le nombre important de migrants, de toutes origines, qui ne trouvent pas d'assistance car ils arrivent seuls à Paris et ne parlent pas ou peu français.","(travail des équipes de travailleurs sociaux, Pour) (dimension sociale de la médecine dans la formation, Contre) (assistance aux migrants, Pour)",173.0,"['Pour', 'Contre', 'Pour']","['travail des équipes de travailleurs sociaux', 'dimension sociale de la médecine dans la formation', 'assistance aux migrants']","(mission au SAMU Social, Pour)
(formation en médecine, Neutre)
(assistance aux migrants, Contre) 
"
1,352,13/08/2018,Femme,"La nuit était particulièrement chaude, à la fin d'une période de canicule, j'étais dans l'EMA 1.   Je voudrais raconter notre dernier signalement de la nuit, on n'a pas eu le temps de revenir à Ivry-sur-Seine pour la pause de 2h00, parce qu'on devait aller voir un usager qui avait besoin de nous : Georges. On s'est arrêté boulevard Rochechouart dans le 18e. Notre chauffeur s'est attelé à convaincre Georges, qui était bien connu du Samu Social, de venir avec nous pour dormir en hébergement pour cette nuit. Pendant ce temps je suis restée près du camion. Un jeune homme s'est approché, et m'a tendu la main pour se présenter. Je ne me souviens pas de son prénom, mais je suis habituée à la distance imposée par mon statut de futur médecin, surtout quand on porte une blouse. Là je portais un chasuble bleu foncé (d'ailleurs pour la petite histoire beaucoup trop grand), et ma légitimité n'était pas questionnée, malgré ma jeunesse. J'ai été très touchée par la simplicité de cet échange, il ne devait pas être beaucoup plus vieux de moi et malgré l'éloignement manifeste de nos vies, je me suis identifiée à lui. Pour quelques instants la distance était abolie, on n'était simplement deux humains.   Je crois que cette soirée m'a poussée à me rappeler les raisons de mon choix de métier, mais également les moyens que je pourrai avoir dans le futur pour soutenir les gens moins favorisés que moi.    Je tiens à remercier Alice (la TS), Mickaël (l'IDE) et Manu (le chauffeur), pour leur accueil ce soir là, dans l'EMA 1, ils m'ont traitée avec beaucoup de gentillesse, je me suis sentie la bienvenue et totalement intégrée, pas mise  l'écart du fait de mon statut d'observatrice et de mon manque d'expérience. Donc merci c'est une expérience que je n'oublierai pas de sitôt et c'est en partie grâce à vous !","(médecine sociale, Pour)(expérience personnelle, Pour)(inclusion et accueil, Pour)",439.0,"['Pour', 'Pour', 'Pour']","['médecine sociale', 'expérience personnelle', 'inclusion et accueil']","(L'hébergement pour les personnes en situation de précarité, Pour)
(Le travail dans le Samu Social, Pour)
(La solidarité entre les membres d'équipe, Pour) 
  
"
2,945,01/08/2016,Homme,Cette nuit au Samu social fut une belle expérience. Plonger dans le quotidien des personnes en difficulté m'a permis de réaliser la détresse et l'isolement que certains peuvent ressentir. J'ai cependant été surpris et déçu de voir à quel point les moyens disponibles était largement en dessous des nécessités de cette population. L'isolement social a de nombreuses formes diverses et le 115 ne peut malheureusement répondre qu'à l'urgence.  J'ai beaucoup de respect pour toutes ces personnes qui le combatte au quotidien.  Merci pour cette nuit,"(quotidien des personnes en difficulté, Pour)(moyens disponibles pour les personnes en difficulté, Contre)(respect pour ceux qui combattent l'isolement, Pour)",111.0,"['Pour', 'Contre', 'Pour']","['quotidien des personnes en difficulté', 'moyens disponibles pour les personnes en difficulté', ""respect pour ceux qui combattent l'isolement""]","(expérience au Samu social, Pour), (moyens disponibles pour les personnes en difficulté, Contre), (isolement social et le 115, Neutre) 
"
3,1959,11/06/2012,Femme,"La nuit passée avec le Samu Social de Paris aura été pour ma part une expérience enrichissante sur le plan humain, tout d’abord  grâce à la gentillesse des équipes, accueillantes et disponibles pour répondre aux questions.    J’ai trouvé que la soirée était bien organisée: commencer la garde par une double-écoute nous permet de nous familiariser avec le fonctionnement et les missions du Samu Social ce qui à mon avis permet par la suite d’être plus à l’aise et de mieux comprendre l’action des équipes lors de la maraude.    Ce qui m’a particulièrement touché lors de cette soirée, a été de voir l’investissement personnel et le lien qui se crée entre les équipes et les personnes qu’elles rencontrent régulièrement, notamment pour Monsieur H., bien connu de l’EMA avec laquelle je suis partie en maraude, qu’il a été difficile de convaincre d’accepter une place en foyer et une consultation médicale pour une lésion ulcérée de la jambe. Lorsque nous l’avons laissé au centre, l’équipe était émue de le voir ainsi se prendre en charge (prendre rdv avec le médecin, demander s'il pouvait prendre une douche avant de le voir...)      Le seul point négatif de la nuit fut la pluie, ce qui fait que malheureusement ,comme nous n’avons pas eu de signalement dans notre secteur lors de la 2ème maraude, nous n’avons rencontré que peu de personnes.","(Samu Social de Paris, Pour) (Organisation de la soirée, Pour) (Investissement personnel des équipes, Pour)",290.0,"['Pour', 'Pour', 'Pour']","['Samu Social de Paris', 'Organisation de la soirée', 'Investissement personnel des équipes']","(Samu Social de Paris, Pour) 
(Organisation de la soirée, Pour)
(Lien entre les équipes et les personnes rencontrées, Pour) 

"
4,211,16/02/2019,Homme,"J'ai un avis mitigé quand à cette garde réalisé au SAMU social.  Tout d'abord j'ai bénéficié d'une expérience unique en rencontrant des gens qui donnent leur temps pour les plus démunis. Je les ai observé donner de leur personne pour aider des gens rejeter par la société dans un contexte hivernal de grand froid. Je beaucoup d'estime pour leur travail. Je n'ai pas apprécier la double écoute lors de laquelle nous n'avons fais que refuser des logement à des gens en nécessité faute de place.    Notre place  dans cette garde en tant qu'étudiant en médecine et surtout observateur est cependant inadapté à mon sens. Bien que voulant m'impliquer d'avantage mon seul rôle était d'observer. Nous avons rencontrer que très peu de personne lors de la maraude, et l’équipe qui se connaissais depuis longtemps ne portait que très peu d’intérêt à ma présence.  Donc bien qu'il s'agissait d'une expérience humaine enrichissante, je ne me suis sentit déplacé et inutile alors même que j'étais motivé et cherchais à m'impliquer.    De plus j'ai réaliser cette garde pendant le pôle urgence réanimation pendant lequel j'ai effectuer beaucoup de garde dans mon service. J'aurais souhaiter pouvoir faire cette garde à un autre moment car j'étais alors très fatigué.","(garde au SAMU social, Neutre) (rôle des étudiants observateurs, Contre) (fatigue due à l'emploi du temps, Contre)",275.0,"['Neutre', 'Contre', 'Contre']","['garde au SAMU social', 'rôle des étudiants observateurs', ""fatigue due à l'emploi du temps""]","( expérience humaine, Pour )
( rôle des étudiants en médecine, Contre )
( timing de la garde, Contre ) 
"
5,870,28/10/2016,Femme,"Un véritable travail social auprès d'une équipe qui, malgré ses divergences en interne, ont un réel sens de l'accueil et m'ont d'emblée pris en charge et mis à l'aise. Les divers intervenants issus de différents corps de métier m'ont tour à tour expliqué leur rôle dans le fonctionnement du samu social, un organisme dont je me faisais seulement une vague image jusque là, sans réelle idée du but de sa création.     Nous sommes donc allés à la rencontre d'individus vivant à la rue, individus auquel je ne prête d'ordinaire pas attention, avec qui j'ai pris le temps de discuter de leur vie, leur état d'âme, des raisons qui les ont poussé à venir en France (la grande majorité était une population immigrante). L'expérience donne un autre regard sur la précarité en France, d'autant plus que cette population tend à croître, et sur une partie de la population active qui consacre sa carrière à leur service. Elle m'a donc semblé enrichissante, sur un abord humain.","(sens de l'accueil, Pour)(samu social, Neutre)(population immigrante, Neutre)",215.0,"['Pour', 'Neutre', 'Neutre']","[""sens de l'accueil"", 'samu social', 'population immigrante']","(Accueil des personnes en insertion, Pour)
(Fonctionnement du SAMU Social,  Neutre)
(Précarité et situation des immigrés en France, Pour)  

"
6,716,23/06/2017,Femme,"Je reconnais y être allée un peu à reculons au départ. Mais j'ai été rapidement mise dans le bain par une équipe vraiment sympathique, qui m'a tout de suite intégrée et mise à l'aise. Et j'en tire finalement une expérience vraiment riche en relationnel. Et intéressante dans le dépassement de barrière fixées un peu inconsciemment dans la vie de tous les jours.  On garde évidemment toujours un peu à l'esprit les collèges laissés un peu plus tôt le jour même et repris un peu plus difficilement le lendemain. Mais c'est le lot quotidien de chaque étudiant de médecine à qui on ""impose"" une activité en plus de sa routine habituelle, et c'était une bonne expérience au final.","(expérience professionnelle, Pour) (équipe sympathique, Pour) (activité imposée aux étudiants, Neutre)",151.0,"['Pour', 'Pour', 'Neutre']","['expérience professionnelle', 'équipe sympathique', 'activité imposée aux étudiants']","(expérience, Pour)
(équipe, Pour)
(activité supplémentaire, Neutre) 
"
7,1595,21/11/2013,Femme,"Durant cette garde, j'ai été extrêmement bien prise en charge aussi bien par les équipes de la double-écoute que par mon équipe de maraude. Nous avons vu beaucoup de situations différentes tout au long de la nuit, aussi bien un homme assez âgé connu depuis très longtemps des équipes, que des jeunes passant leurs premières nuits dehors, ou d'autres personnes ne souhaitant pas être aidées et assez agressives...  J'ai eu la chance de pouvoir visiter deux centres d'hébergement différents, Montrouge et la Boulangerie, et de pouvoir les comparer. Et ainsi me rendre compte des conditions désastreuses dans lesquelles les personnes sont installées dans ce dernier centre, malgré la chance qu'elles ont comparé à de nombreux autres d'y avoir une place. J'ai donc pu me rendre directement compte de l'immense manque de moyens, pourtant nécessaires pour pouvoir aider toutes ces personnes, et cela m'a permis de mieux comprendre leur situation et leur comportement.  Cette garde a donc été extrêmement enrichissante.","(prise en charge par les équipes, Pour)(conditions des centres d'hébergement, Contre)(manque de moyens, Contre)",206.0,"['Pour', 'Contre', 'Contre']","['prise en charge par les équipes', ""conditions des centres d'hébergement"", 'manque de moyens']","(prise en charge des équipes, Pour)
(conditions dans les centres d'hébergement, Contre)
(compréhension de la situation des personnes en difficulté, Pour) 
"
8,300,18/11/2018,Femme,"Cette expérience au samu social était très enrichissante, elle m'a permis de relativiser sur tous mes problèmes et de réaliser la chance que j'avais. Pouvoir vivre sous un toit, manger à sa faim, se couvrir du froid me semblaient être des banalités mais je me rends compte aujourd'hui que de nombreuses personnes n'ont pas accès à ces choses si simples. Les appels en double écoute étaient très émouvants, chaque personne qui appelait avait une histoire et un parcours uniques mais tous avaient la même voix de désespoir en appelant à l'aide pour pouvoir dormir ne serait ce qu'une nuit dans un lit au chaud. Cette expérience me donne envie de m'investir plus dans l'humanitaire, le social et l'associatif pour pouvoir aider toutes ces personnes en détresse.","(expérience au samu social, Pour) (accès aux besoins fondamentaux, Pour) (investissement dans l'humanitaire, Pour)",161.0,"['Pour', 'Pour', 'Pour']","['expérience au samu social', 'accès aux besoins fondamentaux', ""investissement dans l'humanitaire""]","(expérience au Samu social, Pour)
(accès à un logement et à la nourriture, Pour)
(aide aux personnes en difficulté, Pour) 

"
9,307,11/11/2018,Femme,"Le SAMU social est une très belle mission. On écoute les gens dans le besoin, on essaye de leur trouver une place à l'abri pour dormir la nuit. Néanmoins, cette solution ne l'est que pour une nuit et il est dur de ne pas pouvoir avoir des solutions durables pour chacun d'entre eux.","(SAMU social, Pour), (solution pour une nuit, Contre), (solutions durables, Pour)",66.0,"['Pour', 'Contre', 'Pour']","['SAMU social', 'solution pour une nuit', 'solutions durables']","(Le SAMU social, Pour) (solutions durables pour les personnes sans abri, Contre) 
"
